id,lat,lng,country_name,country_flag,country_description_pt_br,country_description_es_es,country_description_en_us,song_name,song_author,song_description_pt_br,song_description_es_es,song_description_en_us,audio,teacher_name,teacher_photo,teacher_bio_pt_br,teacher_bio_es_es,teacher_bio_en_us,teacher_link
1,39.9042,116.4074,China,🇨🇳,"A China possui uma das tradições musicais mais antigas do mundo, com instrumentos como o erhu e o guzheng. A música tradicional chinesa reflete milhares de anos de história e filosofia.","China posee una de las tradiciones musicales más antiguas del mundo, con instrumentos como el erhu y el guzheng. La música tradicional china refleja miles de años de historia y filosofía.","China has one of the world's oldest musical traditions, featuring instruments like the erhu and guzheng. Traditional Chinese music reflects thousands of years of history and philosophy.",Bài Nián (拜年),Traditional,"Música cantada para celebrar o Ano Novo Chinês, festa importante que leva multidões a passar a noite inteira em claro, nas ruas ou visitando amigos e familiares, celebrando juntos a vida e a prosperidade.","Música cantada para celebrar el Año Nuevo Chino, fiesta importante que lleva multitudes a pasar toda la noche despiertos, en las calles o visitando amigos y familiares, celebrando juntos la vida y la prosperidad.","Song sung to celebrate Chinese New Year, an important festival where crowds stay up all night, in the streets or visiting friends and family, celebrating life and prosperity together.",media/audio/bai-nian.mp3,Tony Lee,media/images/teachers/tony-lee.jpg,"Músico e ator chinês radicado no Brasil há 25 anos, desafia a Magnífica a mergulhar na sonoridade diversa da China. Toca o Sheng, instrumento milenar de sopro.","Músico y actor chino radicado en Brasil hace 25 años, desafía a la Magnífica a sumergirse en la sonoridad diversa de China. Toca el Sheng, instrumento milenario de viento.","Chinese musician and actor living in Brazil for 25 years, challenges Magnífica to dive into China's diverse sounds. Plays the Sheng, an ancient wind instrument.",
2,28.6139,77.2090,India,🇮🇳,"A Índia tem uma das tradições musicais mais ricas do mundo, com sistemas clássicos como o hindustani e carnático. A música indiana é profundamente espiritual e diversa.","India tiene una de las tradiciones musicales más ricas del mundo, con sistemas clásicos como el hindustani y carnático. La música india es profundamente espiritual y diversa.","India has one of the world's richest musical traditions, with classical systems like Hindustani and Carnatic. Indian music is deeply spiritual and diverse.",Raghupati Raghav Raja Ram,Mahatma Gandhi (popularizou),"Bajhan, canto de adoração ao casal divino Rama e Sita. Foi cantado por Gandhi na Marcha do Sal em 1930, marco para a independência da Índia. Uma prece que pode ser entoada como agradecimento, súplica ou contemplação.","Bajhan, canto de adoración a la pareja divina Rama y Sita. Fue cantado por Gandhi en la Marcha de la Sal en 1930, hito para la independencia de India. Una plegaria que puede entonarse como agradecimiento, súplica o contemplación.","Bajhan, a devotional song to the divine couple Rama and Sita. Sung by Gandhi in the 1930 Salt March, a milestone for India's independence. A prayer that can be sung as gratitude, supplication, or contemplation.",media/audio/raghupati.mp3,Ratnabali,media/images/teachers/ratnabali.jpg,"Musicista, compositora e cantora indiana radicada no Brasil. Ensinou à Magnífica sutilezas de interpretação de Rhaja Ram.","Musicista, compositora y cantante india radicada en Brasil. Enseñó a Magnífica las sutilezas de interpretación de Rhaja Ram.","Indian musician, composer and singer living in Brazil. Taught Magnífica the subtleties of interpreting Rhaja Ram.",
3,32.4279,53.6880,Iran,🇮🇷,"A música persa tem mais de mil anos de história, com instrumentos únicos como o tar e o santur. A tradição musical iraniana combina poesia e melodia de forma sublime.","La música persa tiene más de mil años de historia, con instrumentos únicos como el tar y el santur. La tradición musical iraní combina poesía y melodía de forma sublime.","Persian music has over a thousand years of history, with unique instruments like the tar and santur. Iranian musical tradition sublimely combines poetry and melody.",Mastom Mastom,Traditional,"Muito popular na cultura persa, animando celebrações e festivais. Significa 'Bêbado, bêbado!' - fala de estar embriagado pela bebida e por um amor não correspondido. Tem origem em Shiraz, cidade famosa por templos e jardins.","Muy popular en la cultura persa, animando celebraciones y festivales. Significa '¡Borracho, borracho!' - habla de estar embriagado por la bebida y por un amor no correspondido. Tiene origen en Shiraz, ciudad famosa por templos y jardines.","Very popular in Persian culture, livening up celebrations and festivals. Means 'Drunk, drunk!' - speaks of being intoxicated by drink and unrequited love. Originates from Shiraz, a city famous for temples and gardens.",media/audio/mastom.mp3,Mah Mooni e Arash Azadeh,media/images/teachers/mah-mooni-arash.jpg,"Dois iranianos que compartilharam esta música com a Magnífica Orchestra. Mah Mooni é cantora e Arash Azadeh também contribuiu com seu conhecimento da cultura persa.","Dos iraníes que compartieron esta música con Magnífica Orchestra. Mah Mooni es cantante y Arash Azadeh también contribuyó con su conocimiento de la cultura persa.","Two Iranians who shared this music with Magnífica Orchestra. Mah Mooni is a singer and Arash Azadeh also contributed his knowledge of Persian culture.",
4,4.5709,-74.2973,Colombia,🇨🇴,"A Colômbia é rica em gêneros musicais como a cumbia, o vallenato e o bambuco. A música colombiana reflete a diversidade cultural e geográfica do país.","Colombia es rica en géneros musicales como la cumbia, el vallenato y el bambuco. La música colombiana refleja la diversidad cultural y geográfica del país.","Colombia is rich in musical genres like cumbia, vallenato, and bambuco. Colombian music reflects the country's cultural and geographical diversity.",La Guaneña,Traditional,"História de Rosario Torres, mulher valente que se tornou símbolo latino do empoderamento feminino. Nasce nas montanhas colombianas no século 18, durante lutas pela independência. Ritmo Bambuco Sueño da Colômbia andina.","Historia de Rosario Torres, mujer valiente que se convirtió en símbolo latino del empoderamiento femenino. Nace en las montañas colombianas en el siglo 18, durante luchas por la independencia. Ritmo Bambuco Sueño de Colombia andina.","Story of Rosario Torres, a brave woman who became a Latin symbol of female empowerment. Born in the Colombian mountains in the 18th century, during independence struggles. Bambuco Sueño rhythm from Andean Colombia.",media/audio/la-guanena.mp3,Santiago Quesada,media/images/teachers/santiago-quesada.jpg,"Músico colombiano de passagem pelo Brasil. Ensinou aos Magníficos o contagiante ritmo Bambuco Sueño como forma de agradecer a acolhida que teve durante catorze meses de viagem.","Músico colombiano de paso por Brasil. Enseñó a los Magníficos el contagioso ritmo Bambuco Sueño como forma de agradecer la acogida que tuvo durante catorce meses de viaje.","Colombian musician passing through Brazil. Taught Magníficos the infectious Bambuco Sueño rhythm as a way to thank the welcome he received during fourteen months of travel.",
5,34.5553,69.2075,Afghanistan,🇦🇫,"O Afeganistão, país da Ásia Central, possui uma rica tradição musical que combina influências persas, indianas e da Ásia Central. A música afegã é conhecida por suas melodias suaves e instrumentos tradicionais.","Afganistán, país de Asia Central, posee una rica tradición musical que combina influencias persas, indias y de Asia Central. La música afgana es conocida por sus melodías suaves e instrumentos tradicionales.","Afghanistan, a country in Central Asia, has a rich musical tradition that combines Persian, Indian and Central Asian influences. Afghan music is known for its gentle melodies and traditional instruments.",Molla Mammad Jaan,Traditional,"A mulher apaixonada convida seu amado para passear em um campo de tulipas vermelhas, que crescem livres no Afeganistão. O 'Mulah Mohamed' é um estudioso da religião que encanta a moça, mas ela não tem certeza se seu amor é correspondido.","La mujer enamorada invita a su amado a pasear por un campo de tulipanes rojos que crecen libres en Afganistán. El 'Mulah Mohamed' es un estudioso de la religión que encanta a la joven, pero ella no está segura si su amor es correspondido.","A woman in love invites her beloved to walk in a field of red tulips that grow wild in Afghanistan. 'Mulah Mohamed' is a religious scholar who charms the girl, but she's not sure if her love is reciprocated.",media/audio/molla-mammad.mp3,Kawa Mo,media/images/teachers/kawa-mo.jpg,"Jovem médico afegão que saiu de seu país em férias e não pôde voltar pois o governo fechou as fronteiras. Nos fez conhecer um Afeganistão suave e romântico.","Joven médico afgano que salió de su país de vacaciones y no pudo volver pues el gobierno cerró las fronteras. Nos hizo conocer un Afganistán suave y romántico.","Young Afghan doctor who left his country on vacation and couldn't return because the government closed the borders. Introduced us to a gentle and romantic Afghanistan.",
6,-13.5320,-71.9675,Peru,🇵🇪,"O Peru tem uma rica tradição musical andina com instrumentos como a quena e o charango. A música peruana reflete a herança indígena, espanhola e africana.","Perú tiene una rica tradición musical andina con instrumentos como la quena y el charango. La música peruana refleja la herencia indígena, española y africana.","Peru has a rich Andean musical tradition with instruments like the quena and charango. Peruvian music reflects indigenous, Spanish, and African heritage.",Valicha,Miguel Angel Hurtado,"Do encontro de uma linda moça com um compositor inspirado nasce esta canção. Valicha é o apelido de Valeriana Condori de Cusco. Os versos misturam espanhol e quechua, exaltando a paixão comparando Valicha às árvores e flores da região montanhosa.","Del encuentro de una linda joven con un compositor inspirado nace esta canción. Valicha es el apodo de Valeriana Condori de Cusco. Los versos mezclan español y quechua, exaltando la pasión comparando a Valicha con árboles y flores de la región montañosa.","From the meeting of a beautiful girl with an inspired composer, this song was born. Valicha is the nickname of Valeriana Condori from Cusco. The verses mix Spanish and Quechua, exalting passion by comparing Valicha to trees and flowers of the mountainous region.",media/audio/valicha.mp3,Martha Galdós,media/images/teachers/martha-galdos.jpg,"Cantora peruana residente em São Paulo. Ensinou aos Magníficos as nuances da história e dos idiomas e se junta à Magnífica interpretando os solos desta música encantadora.","Cantante peruana residente en São Paulo. Enseñó a los Magníficos los matices de la historia y los idiomas y se une a Magnífica interpretando los solos de esta música encantadora.","Peruvian singer living in São Paulo. Taught Magníficos the nuances of the story and languages and joins Magnífica performing the solos of this enchanting music.",
7,-15.7942,-47.8822,Brazil,🇧🇷,"O Brasil é conhecido pela diversidade musical, do samba à música sertaneja, do forró ao maracatu. A música brasileira reflete a rica mistura cultural do país.","Brasil es conocido por su diversidad musical, desde la samba hasta la música sertaneja, del forró al maracatu. La música brasileña refleja la rica mezcla cultural del país.","Brazil is known for its musical diversity, from samba to sertaneja music, from forró to maracatu. Brazilian music reflects the country's rich cultural mix.",Tembi'u Porã,Traditional Guarani,"Canto de agradecimento ao alimento generosamente concedido pela mãe-Terra (Nhandetchy) e pelo Deus-pai (Nhanderu). O milho é reverenciado como alimento lindo, sustento da vida. Uma prece em forma de canção.","Canto de agradecimiento al alimento generosamente concedido por la madre-Tierra (Nhandetchy) y el Dios-padre (Nhanderu). El maíz es reverenciado como alimento hermoso, sustento de la vida. Una plegaria en forma de canción.","Song of gratitude for food generously granted by Mother Earth (Nhandetchy) and Father God (Nhanderu). Corn is revered as beautiful food, sustenance of life. A prayer in the form of song.",media/audio/tembiu-pora.mp3,Tainara Takua,media/images/teachers/tainara-takua.jpg,"Artista indígena Guarani M'bya que dissemina as tradições originárias, o canto e a dança de seu povo. Com voz e violão, nos marca com sua presença musical, ao mesmo tempo muito firme e muito suave.","Artista indígena Guaraní M'bya que difunde las tradiciones originarias, el canto y la danza de su pueblo. Con voz y guitarra, nos marca con su presencia musical, al mismo tiempo muy firme y muy suave.","Guarani M'bya indigenous artist who spreads the original traditions, singing and dancing of her people. With voice and guitar, she marks us with her musical presence, at the same time very firm and very gentle.",
8,-15.8042,-47.8922,Brazil,🇧🇷,"O Brasil é conhecido pela diversidade musical, do samba à música sertaneja, do forró ao maracatu. A música brasileira reflete a rica mistura cultural do país.","Brasil es conocido por su diversidad musical, desde la samba hasta la música sertaneja, del forró al maracatu. La música brasileña refleja la rica mezcla cultural del país.","Brazil is known for its musical diversity, from samba to sertaneja music, from forró to maracatu. Brazilian music reflects the country's rich cultural mix.",Quando a Morena,Gabriel Levy,"Linda ciranda composta pelo Maestro Gabriel Levy, criador da Magnífica Orchestra. Com melodia fácil e letra romântica, em poucos minutos coloca plateias inteiras para cantar e dançar. Cantada em cânone, sendo executada mundo afora.","Linda ciranda compuesta por el Maestro Gabriel Levy, creador de Magnífica Orchestra. Con melodía fácil y letra romántica, en pocos minutos pone audiencias enteras a cantar y bailar. Cantada en canon, siendo ejecutada por todo el mundo.","Beautiful ciranda composed by Maestro Gabriel Levy, creator of Magnífica Orchestra. With an easy melody and romantic lyrics, it gets entire audiences singing and dancing in minutes. Sung in canon, being performed worldwide.",media/audio/quando-morena.mp3,Gabriel Levy,media/images/teachers/gabriel-levy.jpg,"Maestro e criador da Magnífica Orchestra de Músicas do Mundo. Com mais de 30 anos de experiência regendo corais, criou esta composição em ritmo tradicional do nordeste brasileiro.","Maestro y creador de Magnífica Orchestra de Músicas do Mundo. Con más de 30 años de experiencia dirigiendo coros, creó esta composición en ritmo tradicional del nordeste brasileño.","Maestro and creator of Magnífica Orchestra of World Music. With over 30 years of experience conducting choirs, he created this composition in traditional northeastern Brazilian rhythm.",
9,-15.8142,-47.9022,Brazil,🇧🇷,"O Brasil é conhecido pela diversidade musical, do samba à música sertaneja, do forró ao maracatu. A música brasileira reflete a rica mistura cultural do país.","Brasil es conocido por su diversidad musical, desde la samba hasta la música sertaneja, del forró al maracatu. La música brasileña refleja la rica mezcla cultural del país.","Brazil is known for its musical diversity, from samba to sertaneja music, from forró to maracatu. Brazilian music reflects the country's rich cultural mix.",Sou Brasileiro,Traditional (Candomblé de Caboclo),"Cantiga do candomblé de caboclo, com raízes africanas profundas. Os caboclos eram mestiços de brancos e indígenas escravizados que, segundo religiões de matriz africana, após a morte seguem cuidando de todos nós. Transborda orgulho de ser brasileiro.","Cantiga del candomblé de caboclo, con raíces africanas profundas. Los caboclos eran mestizos de blancos e indígenas esclavizados que, según religiones de matriz africana, después de la muerte siguen cuidando de todos nosotros. Desborda orgullo de ser brasileño.","Candomblé de caboclo chant, with deep African roots. The caboclos were mixed-race people of white and enslaved indigenous ancestry who, according to African-matrix religions, continue to care for us all after death. Overflows with pride in being Brazilian.",media/audio/sou-brasileiro.mp3,Vitor da Trindade,media/images/teachers/vitor-trindade.jpg,"Ogã, artista e professor que nos chama a olhar para nossas tradições. Nos ensina que os caboclos tinham muito orgulho de ser brasileiros, sentimento que transborda na música esfuziante.","Ogã, artista y profesor que nos llama a mirar nuestras tradiciones. Nos enseña que los caboclos tenían mucho orgullo de ser brasileños, sentimiento que desborda en la música efusiva.","Ogã, artist and teacher who calls us to look at our traditions. He teaches us that the caboclos were very proud to be Brazilian, a feeling that overflows in the exuberant music.",
10,31.9522,35.2332,Palestine,🇵🇸,"A Palestina tem uma rica tradição musical com o dabke (dança) e canções de resistência. A música palestina preserva a memória e identidade cultural do povo.","Palestina tiene una rica tradición musical con el dabke (danza) y canciones de resistencia. La música palestina preserva la memoria e identidad cultural del pueblo.","Palestine has a rich musical tradition with dabke (dance) and resistance songs. Palestinian music preserves the memory and cultural identity of the people.",Wayn a Ramallah,Traditional,"Canção sobre deixar seus queridos sem saber para onde. Evoca Ramallah, importante centro religioso. Para fugir de conflitos e guerra, milhares deixam suas casas sem destino certo. Ritmo forte que convoca a seguir em frente, sempre com esperança.","Canción sobre dejar a tus seres queridos sin saber a dónde. Evoca Ramallah, importante centro religioso. Para huir de conflictos y guerra, miles dejan sus casas sin destino cierto. Ritmo fuerte que convoca a seguir adelante, siempre con esperanza.","Song about leaving your loved ones without knowing where to. Evokes Ramallah, an important religious center. To escape conflicts and war, thousands leave their homes without a certain destination. Strong rhythm that calls to move forward, always with hope.",media/audio/wayn-ramalah.mp3,Yousef Saif,media/images/teachers/yousef-saif.jpg,"Palestino que viveu 8 anos em São Paulo, sempre acompanhado de seu buzuki, instrumento que toca divinamente. Antes de regressar à sua terra devastada pelo genocídio, ensinou esta canção tradicional.","Palestino que vivió 8 años en São Paulo, siempre acompañado de su buzuki, instrumento que toca divinamente. Antes de regresar a su tierra devastada por el genocidio, enseñó esta canción tradicional.","Palestinian who lived 8 years in São Paulo, always accompanied by his buzuki, an instrument he plays divinely. Before returning to his land devastated by genocide, he taught this traditional song.",
11,-4.0383,21.7587,DR Congo,🇨🇩,"A República Democrática do Congo é o berço da rumba congolesa e do soukous. A música congolesa influenciou toda a África com seus ritmos contagiantes.","La República Democrática del Congo es la cuna de la rumba congoleña y el soukous. La música congoleña ha influenciado toda África con sus ritmos contagiosos.","The Democratic Republic of Congo is the birthplace of Congolese rumba and soukous. Congolese music has influenced all of Africa with its infectious rhythms.",Mbomboliye,Traditional,"Do povo Mongo no Norte do Congo, onde convivem mais de 400 grupos étnicos. Mbomboliye significa 'Peço Licença' em Kimongo - para comunicar tudo que é positivo aos sábios, guerreiros e ancestrais. Ritmo Kimboka que transborda beleza e vitalidade.","Del pueblo Mongo en el Norte del Congo, donde conviven más de 400 grupos étnicos. Mbomboliye significa 'Pido Permiso' en Kimongo - para comunicar todo lo positivo a sabios, guerreros y ancestros. Ritmo Kimboka que desborda belleza y vitalidad.","From the Mongo people in Northern Congo, where over 400 ethnic groups coexist. Mbomboliye means 'I Ask Permission' in Kimongo - to communicate everything positive to the wise, warriors and ancestors. Kimboka rhythm that overflows with beauty and vitality.",media/audio/mbomboliye.mp3,Leonardo Matumona,media/images/teachers/leonardo-matumona.jpg,"Músico congolês no Brasil há 12 anos. Introduziu a Magnífica nas ondulações deste ritmo dançante, chamado Kimboka, que transborda beleza e vitalidade - um ponto alto nos shows da Orchestra.","Músico congoleño en Brasil hace 12 años. Introdujo a Magnífica en las ondulaciones de este ritmo danzante, llamado Kimboka, que desborda belleza y vitalidad - un punto alto en los shows de la Orchestra.","Congolese musician in Brazil for 12 years. Introduced Magnífica to the undulations of this dancing rhythm, called Kimboka, which overflows with beauty and vitality - a highlight in Orchestra shows.",
12,37.9838,23.7275,Greece,🇬🇷,"A Grécia tem uma rica tradição musical desde a antiguidade, com o rebético e música folclórica das ilhas. A música grega combina paixão mediterrânea com história milenar.","Grecia tiene una rica tradición musical desde la antigüedad, con el rebético y música folclórica de las islas. La música griega combina pasión mediterránea con historia milenaria.","Greece has a rich musical tradition since antiquity, with rebetiko and island folk music. Greek music combines Mediterranean passion with millennial history.",Misirlou,Traditional,"Uma das mais conhecidas canções gregas, falando do desejo apaixonado por uma 'moça do Egito'. Atravessou fronteiras para ser tocada em festas sérvias, judaicas, árabes. Virou trilha do filme Pulp Fiction. É o convite para entrar na roda, na dança coletiva.","Una de las canciones griegas más conocidas, hablando del deseo apasionado por una 'chica de Egipto'. Atravesó fronteras para ser tocada en fiestas serbias, judías, árabes. Se convirtió en banda sonora de la película Pulp Fiction. Es la invitación a entrar en la ronda, en la danza colectiva.","One of the most famous Greek songs, speaking of passionate desire for an 'Egyptian girl'. Crossed borders to be played at Serbian, Jewish, Arab parties. Became the soundtrack for Pulp Fiction movie. It's the invitation to join the circle, in collective dance.",media/audio/misirlou.mp3,Katerina Douka,media/images/teachers/katerina-douka.jpg,"Artista grega que gravou esta música no primeiro clipe da Orchestra durante a pandemia. Trouxe para a Magnífica uma das canções mais icônicas da cultura grega.","Artista griega que grabó esta música en el primer video de la Orchestra durante la pandemia. Trajo a Magnífica una de las canciones más icónicas de la cultura griega.","Greek artist who recorded this song in the Orchestra's first video during the pandemic. Brought to Magnífica one of the most iconic songs of Greek culture.",https://www.youtube.com/watch?v=Jdt6AY30DIQ
13,33.8886,35.4955,Lebanon,🇱🇧,"O Líbano tem uma rica tradição musical que combina influências árabes, francesas e turcas. A música libanesa é conhecida por suas melodias emotivas e poesia profunda.","Líbano tiene una rica tradición musical que combina influencias árabes, francesas y turcas. La música libanesa es conocida por sus melodías emotivas y poesía profunda.","Lebanon has a rich musical tradition combining Arab, French, and Turkish influences. Lebanese music is known for its emotive melodies and deep poetry.",Ala Dalouna,Traditional Árabe,"Significa 'Vamos todos ajudar!' Convoca para tarefas comunitárias agrícolas e construção. Surge a dança Dabke ('carimbar os pés na terra'). Na Palestina evoca resistência política. A força da união é reafirmada a cada passo com altivez e alegria.","Significa '¡Vamos todos a ayudar!' Convoca para tareas comunitarias agrícolas y construcción. Surge la danza Dabke ('estampar los pies en la tierra'). En Palestina evoca resistencia política. La fuerza de la unión se reafirma en cada paso con altivez y alegría.","Means 'Let's all help!' Calls for communal agricultural tasks and construction. The Dabke dance emerges ('stamping feet on the ground'). In Palestine it evokes political resistance. The strength of unity is reaffirmed with each step with pride and joy.",media/audio/ala-dalaouna.mp3,Jihad Smaili,media/images/teachers/jihad-smaili.jpg,"Músico descendente de libaneses, residente no Brasil. Ensinou esta canção tradicional árabe presente no Líbano, Palestina, Iraque, Síria e Jordânia, com suas muitas variações da dança Dabke.","Músico descendiente de libaneses, residente en Brasil. Enseñó esta canción tradicional árabe presente en Líbano, Palestina, Irak, Siria y Jordania, con sus muchas variaciones de la danza Dabke.","Musician of Lebanese descent, residing in Brazil. Taught this traditional Arabic song present in Lebanon, Palestine, Iraq, Syria and Jordan, with its many variations of the Dabke dance.",
14,36.5000,44.0000,Kurdistan,🟡🔴🟢,"O Curdistão tem uma rica tradição musical com o dengbêj (narração cantada) e instrumentos como o tembûr. A música curda preserva histórias de resistência e identidade.","Kurdistán tiene una rica tradición musical con el dengbêj (narración cantada) e instrumentos como el tembûr. La música kurda preserva historias de resistencia e identidad.","Kurdistan has a rich musical tradition with dengbêj (sung narration) and instruments like the tembûr. Kurdish music preserves stories of resistance and identity.",Kelesho,Traditional,"Tem origem na Geórgia e ressoa no Curdistão, região histórico-cultural que perpassa Iraque, Irã, Síria e Turquia. Kelesho significa homem jovem, exaltado como guerreiro corajoso. A dança reflete a altivez do canto heroico.","Tiene origen en Georgia y resuena en Kurdistán, región histórico-cultural que atraviesa Irak, Irán, Siria y Turquía. Kelesho significa hombre joven, exaltado como guerrero valiente. La danza refleja la altivez del canto heroico.","Originates in Georgia and resonates in Kurdistan, a historical-cultural region spanning Iraq, Iran, Syria and Turkey. Kelesho means young man, exalted as a brave warrior. The dance reflects the pride of the heroic song.",media/audio/kelesho.mp3,Arjen Brus,media/images/teachers/arjen-brus.jpg,"Curdo de passagem pelo Brasil, ele mesmo um homem jovem enfrentando os desafios do mundo. Trouxe esta música da região do Curdistão com seu canto heroico e dança altiva.","Kurdo de paso por Brasil, él mismo un hombre joven enfrentando los desafíos del mundo. Trajo esta música de la región del Kurdistán con su canto heroico y danza altiva.","Kurdish person passing through Brazil, himself a young man facing the world's challenges. Brought this music from the Kurdistan region with its heroic song and proud dance.",
15,35.6762,139.6503,Japan,🇯🇵,"O Japão tem uma tradição musical milenar, do gagaku imperial ao min'yō (canções folclóricas). A música japonesa combina refinamento estético com expressão emocional profunda.","Japón tiene una tradición musical milenaria, del gagaku imperial al min'yō (canciones folclóricas). La música japonesa combina refinamiento estético con expresión emocional profunda.","Japan has a millennial musical tradition, from imperial gagaku to min'yō (folk songs). Japanese music combines aesthetic refinement with deep emotional expression.",Souma Bon Uta,Traditional,"Cantar e dançar para celebrar a colheita farta e os antepassados. Os versos contam desde a chegada dos convidados até voltar feliz para casa. Esta tradição ultrapassou fronteiras da aldeia e tornou-se conhecida em todo Japão.","Cantar y bailar para celebrar la cosecha abundante y los antepasados. Los versos cuentan desde la llegada de invitados hasta volver feliz a casa. Esta tradición superó las fronteras de la aldea y se hizo conocida en todo Japón.","Singing and dancing to celebrate the bountiful harvest and ancestors. The verses tell from the arrival of guests to happily returning home. This tradition crossed village borders and became known throughout Japan.",media/audio/souma-bon.mp3,Sérgio Tück,media/images/teachers/sergio-tuck.jpg,"Artista-educador criado em Atibaia, cidade do interior paulista com numerosa colônia japonesa. Transmitiu este fragmento da cultura asiática para os Magníficos. Nos shows, é Sérgio quem toca o Taikô, o tambor japonês.","Artista-educador criado en Atibaia, ciudad del interior paulista con numerosa colonia japonesa. Transmitió este fragmento de la cultura asiática a los Magníficos. En los shows, es Sérgio quien toca el Taikô, el tambor japonés.","Artist-educator raised in Atibaia, a city in the interior of São Paulo with a large Japanese colony. Transmitted this fragment of Asian culture to the Magníficos. In shows, Sérgio plays the Taikô, the Japanese drum.",
16,6.5244,-66.5897,Venezuela,🇻🇪,"A música venezuelana é vibrante e diversa, com gêneros como o joropo e o gaita. Os ritmos venezuelanos refletem a alegria e paixão do povo.","La música venezolana es vibrante y diversa, con géneros como el joropo y la gaita. Los ritmos venezolanos reflejan la alegría y pasión del pueblo.","Venezuelan music is vibrant and diverse, with genres like joropo and gaita. Venezuelan rhythms reflect the joy and passion of the people.",Pajarillo Verde,Traditional,"Conta de um homem fugindo, caminhando escondido, temendo perder vida e liberdade. No limite do pavor, começa a conversar com um passarinho verde que vai escutar seus temores e apontar as melhores saídas ao longo do caminho cheio de perigos.","Cuenta de un hombre huyendo, caminando escondido, temiendo perder vida y libertad. En el límite del pavor, comienza a conversar con un pajarito verde que escuchará sus temores y señalará las mejores salidas en el camino lleno de peligros.","Tells of a man fleeing, walking hidden, fearing losing life and freedom. At the limit of terror, he begins to talk to a little green bird who will listen to his fears and point out the best ways out along the dangerous path.",media/audio/pajarillo.mp3,Fran Castellar,media/images/teachers/fran-castellar.jpg,"Cantora venezuelana que trouxe na bagagem muitas canções tradicionais e também o filho, o jovem Anel Castellar, músico da nova geração integrante da Magnífica, conectado à sua cultura ancestral.","Cantante venezolana que trajo en su equipaje muchas canciones tradicionales y también a su hijo, el joven Anel Castellar, músico de la nueva generación integrante de Magnífica, conectado con su cultura ancestral.","Venezuelan singer who brought many traditional songs and also her son, young Anel Castellar, a new generation musician member of Magnífica, connected to his ancestral culture.",
