key,pt_br,es_es,en_us,zh_cn,hi_in,fr_fr,ar_sa,bn_bd,ur_pk,id_id
song,Canção,Canción,Song,歌曲,गीत,Chanson,أغنية,গান,گانا,Lagu
teacher,Professor(a),Profesor(a),Teacher,老师,शिक्षक,Professeur,معلم,শিক্ষক,استاد,Guru
traditional,Tradicional,Tradicional,Traditional,传统,पारंपरिक,Traditionnel,تقليدي,ঐতিহ্যবাহী,روایتی,Tradisional
by,por,por,by,由,द्वारा,par,بواسطة,দ্বারা,کی طرف سے,oleh
learn_more,Saiba mais,Aprenda más,Learn more,了解更多,और जानें,En savoir plus,تعلم المزيد,আরও জানুন,مزید جانیں,Pelajari lebih lanjut
close,Fechar,Cerrar,Close,关闭,बंद करें,Fermer,إغلاق,বন্ধ করুন,بند کریں,Tutup
country,País,País,Country,国家,देश,Pays,بلد,দেশ,ملک,Negara
loading,Carregando,Cargando,Loading,加载中,लोड हो रहा है,Chargement,جار التحميل,লোড হচ্ছে,لوڈ ہو رہا ہے,Memuat
select_language,Selecione o idioma,Seleccione el idioma,Select language,选择语言,भाषा चुनें,Sélectionner la langue,اختر اللغة,ভাষা নির্বাচন করুন,زبان منتخب کریں,Pilih bahasa
author,Autor,Autor,Author,作者,लेखक,Auteur,مؤلف,লেখক,مصنف,Penulis
composer,Compositor,Compositor,Composer,作曲家,संगीतकार,Compositeur,ملحن,সুরকার,موسیقار,Komposer
nav_nos,Nós,Nosotros,Us,我们,हम,Nous,نحن,আমরা,ہم,Kami
nav_musicas,Músicas,Músicas,Music,音乐,संगीत,Musique,موسيقى,সঙ্গীত,موسیقی,Musik
nav_sobre,Sobre,Acerca de,About,关于,के बारे में,À propos,حول,সম্পর্কে,کے بارے میں,Tentang
